step        alpha       action      reward        Q[s+0]      Q[s+1]      Q[s+2]
374000      19.000000     2     0.442227     244.621954     244.620864     244.637365
375000      20.000000     0     0.447061     244.676337     244.627709     0.000000
376000      19.000000     2     0.452239     244.621954     244.620864     244.637413
377000      20.000000     0     0.456387     244.676378     244.627709     0.000000
378000      19.000000     2     0.460762     244.621954     244.620864     244.637462
379000      20.000000     0     0.464225     244.676419     244.627709     0.000000
380000      19.000000     2     0.467814     244.621954     244.620864     244.637512
381000      20.000000     0     0.470620     244.676462     244.627709     0.000000
382000      19.000000     2     0.473468     244.621954     244.620864     244.637563
383000      20.000000     0     0.475668     244.676505     244.627709     0.000000
384000      19.000000     2     0.477845     244.621954     244.620864     244.637614
385000      20.000000     0     0.479505     244.676549     244.627709     0.000000
386000      19.000000     2     0.481097     244.621954     244.620864     244.637666
387000      20.000000     0     0.482294     244.676593     244.627709     0.000000
388000      19.000000     2     0.483391     244.621954     244.620864     244.637718
389000      20.000000     0     0.484206     244.676637     244.627709     0.000000
390000      19.000000     2     0.484903     244.621954     244.620864     244.637770
391000      20.000000     0     0.485415     244.676682     244.627709     0.000000
392000      19.000000     2     0.485801     244.621954     244.620864     244.637822
393000      20.000000     0     0.486082     244.676726     244.627709     0.000000
394000      19.000000     2     0.486238     244.621954     244.620864     244.637875
395000      20.000000     0     0.486353     244.676771     244.627709     0.000000
396000      19.000000     2     0.486348     244.621954     244.620864     244.637927
397000      20.000000     1     0.486352     244.676816     244.627709     0.000000
398000      20.000000     0     0.486322     244.676816     244.627763     0.000000
399000      19.000000     2     0.486188     244.621954     244.620864     244.637975
400000      20.000000     0     0.486110     244.676861     244.627763     0.000000
401000      19.000000     2     0.485938     244.621954     244.620864     244.638027
402000      20.000000     0     0.485843     244.676905     244.627763     0.000000
403000      19.000000     2     0.485664     244.621954     244.620864     244.638080
404000      20.000000     0     0.485573     244.676950     244.627763     0.000000
405000      19.000000     2     0.485408     244.621954     244.620864     244.638132
406000      20.000000     0     0.485337     244.676995     244.627763     0.000000
407000      19.000000     2     0.485201     244.621954     244.620864     244.638185
408000      20.000000     0     0.485158     244.677039     244.627763     0.000000
409000      19.000000     2     0.485060     244.621954     244.620864     244.638237
410000      20.000000     0     0.485052     244.677084     244.627763     0.000000
411000      19.000000     2     0.484996     244.621954     244.620864     244.638290
412000      20.000000     0     0.485025     244.677129     244.627763     0.000000
413000      19.000000     2     0.485012     244.621954     244.620864     244.638342
414000      20.000000     0     0.485078     244.677173     244.627763     0.000000
415000      19.000000     2     0.485107     244.621954     244.620864     244.638394
416000      20.000000     0     0.485209     244.677218     244.627763     0.000000
417000      19.000000     2     0.485279     244.621954     244.620864     244.638447
418000      20.000000     0     0.485413     244.677262     244.627763     0.000000
419000      19.000000     2     0.485520     244.621954     244.620864     244.638499
420000      20.000000     0     0.485655     244.677307     244.627763     0.000000
421000      19.000000     2     0.485796     244.621954     244.620864     244.638552
422000      20.000000     0     0.485837     244.677352     244.627763     0.000000
423000      19.000000     2     0.485906     244.621954     244.620864     244.638604
424000      20.000000     0     0.485871     244.677396     244.627763     0.000000
425000      19.000000     2     0.485860     244.621954     244.620864     244.638656
426000      20.000000     0     0.485763     244.677441     244.627763     0.000000
427000      19.000000     2     0.485686     244.621954     244.620864     244.638709
428000      20.000000     0     0.485540     244.677486     244.627763     0.000000
429000      19.000000     2     0.485411     244.621954     244.620864     244.638761
430000      20.000000     0     0.485224     244.677531     244.627763     0.000000
431000      19.000000     2     0.485053     244.621954     244.620864     244.638814
432000      20.000000     0     0.484834     244.677575     244.627763     0.000000
433000      19.000000     2     0.484628     244.621954     244.620864     244.638866
434000      20.000000     0     0.484383     244.677620     244.627763     0.000000
435000      19.000000     2     0.484150     244.621954     244.620864     244.638919
436000      20.000000     0     0.483885     244.677664     244.627763     0.000000
437000      19.000000     2     0.483630     244.621954     244.620864     244.638971
438000      20.000000     0     0.483347     244.677709     244.627763     0.000000
439000      19.000000     2     0.483075     244.621954     244.620864     244.639023
440000      20.000000     0     0.482779     244.677753     244.627763     0.000000
441000      19.000000     2     0.482492     244.621954     244.620864     244.639075
442000      20.000000     0     0.482186     244.677798     244.627763     0.000000
443000      19.000000     2     0.481888     244.621954     244.620864     244.639127
444000      20.000000     0     0.481573     244.677842     244.627763     0.000000
445000      19.000000     2     0.481267     244.621954     244.620864     244.639179
446000      20.000000     0     0.480946     244.677886     244.627763     0.000000
447000      19.000000     2     0.480634     244.621954     244.620864     244.639231
448000      20.000000     0     0.480309     244.677931     244.627763     0.000000
449000      19.000000     2     0.479992     244.621954     244.620864     244.639283
450000      20.000000     0     0.479664     244.677975     244.627763     0.000000
451000      19.000000     2     0.479345     244.621954     244.620864     244.639335
452000      20.000000     0     0.479016     244.678019     244.627763     0.000000
453000      19.000000     2     0.478697     244.621954     244.620864     244.639387
454000      20.000000     0     0.478369     244.678063     244.627763     0.000000
455000      19.000000     2     0.478051     244.621954     244.620864     244.639439
456000      20.000000     0     0.477725     244.678107     244.627763     0.000000
457000      19.000000     2     0.477410     244.621954     244.620864     244.639490
458000      20.000000     0     0.477088     244.678151     244.627763     0.000000
