Iter,TotTime,m_block,Alpha,Theta0,Theta_fin,V_theta_fin,V_block_fin,Wind_x,Wind_y,Vkitex,Vkitez,Vrelx,Vrely,F_vinc,Tension,Lift,Liftx,Liftz,Drag,Dragx,Dragz,Stability
1000000, 100.00, 100.00, 0.00, 0.79, 1.54, 0.00, 0.00, 25.00, 0.00, -0.00, -0.00,  -25.00, -0.00, 320.89, 660.39, 669.92, -0.01, 669.92, 19.14, 19.14, 0.00, 1
1000000, 100.00, 100.00, 0.00, 0.79, 1.54, 0.00, 0.00, 27.00, 0.00, -0.00, -0.00,  -27.00, -0.00, 209.41, 771.91, 781.40, -0.02, 781.40, 22.33, 22.33, 0.00, 1
1000000, 100.00, 100.00, 0.00, 0.79, 1.54, 0.00, -0.00, 29.00, 0.00, -0.00, -0.00,  -29.00, -0.00, 89.36, 892.01, 901.45, -0.02, 901.45, 25.76, 25.76, 0.00, 1
1000000, 100.00, 100.00, 0.00, 0.79, 1.54, 0.00, 1.63, 31.00, 0.00, 1.63, -0.00,  -29.37, -0.00, 65.99, 915.39, 924.82, -0.03, 924.82, 26.42, 26.42, 0.00, 1
1000000, 100.00, 100.00, 0.00, 0.79, 1.54, 0.00, -0.00, 33.00, 0.00, -0.00, -0.00,  -33.00, -0.00, -176.46, 1157.94, 1167.27, -0.04, 1167.27, 33.35, 33.35, 0.00, 1
1000000, 100.00, 100.00, 0.00, 0.79, 1.54, 0.00, -0.00, 35.00, 0.00, -0.00, -0.00,  -35.00, -0.00, -322.24, 1303.78, 1313.05, -0.04, 1313.05, 37.52, 37.52, 0.00, 1
1000000, 100.00, 100.00, 0.00, 0.79, 1.54, 0.00, 0.00, 37.00, 0.00, -0.00, -0.00,  -37.00, -0.00, -476.59, 1458.19, 1467.40, -0.05, 1467.40, 41.93, 41.93, 0.00, 1
1000000, 100.00, 100.00, 0.00, 0.79, 1.54, 0.00, -0.00, 39.00, 0.00, -0.00, -0.00,  -39.00, -0.00, -639.52, 1621.18, 1630.32, -0.06, 1630.32, 46.58, 46.58, 0.00, 1
31524, 3.15, 100.00, 2.00, 0.79, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00,  -1.00, 0.00, 981.01, -287.80, 300.06, -299.83, 11.93, 14.29, 0.57, 14.28, 0
227219, 22.72, 100.00, 2.00, 0.79, 0.00, 0.00, 0.00, 3.00, 0.00, 0.00, 0.00,  -3.00, 0.00, 981.01, -334.39, 349.09, -348.23, 24.52, 16.62, 1.17, 16.58, 0
1000000, 100.00, 100.00, 2.00, 0.79, 1.50, 0.00, 0.00, 5.00, 0.00, 0.00, -0.00,  -5.00, -0.00, 958.66, 22.39, 32.15, -0.00, 32.15, 1.53, 1.53, 0.00, 1
1000000, 100.00, 100.00, 2.00, 0.79, 1.51, 0.00, -0.00, 7.00, 0.00, -0.00, -0.00,  -7.00, -0.00, 927.78, 53.30, 63.03, -0.00, 63.03, 3.00, 3.00, 0.00, 1
1000000, 100.00, 100.00, 2.00, 0.79, 1.52, 0.00, 0.00, 9.00, 0.00, -0.00, -0.00,  -9.00, -0.00, 886.62, 94.51, 104.19, -0.00, 104.19, 4.96, 4.96, 0.00, 1
1000000, 100.00, 100.00, 2.00, 0.79, 1.52, 0.00, 0.00, 11.00, 0.00, -0.00, -0.00,  -11.00, -0.00, 835.17, 146.01, 155.64, -0.00, 155.64, 7.41, 7.41, 0.00, 1
1000000, 100.00, 100.00, 2.00, 0.79, 1.52, 0.00, -0.00, 13.00, 0.00, -0.00, -0.00,  -13.00, -0.00, 773.43, 207.82, 217.38, -0.00, 217.38, 10.35, 10.35, 0.00, 1
1000000, 100.00, 100.00, 2.00, 0.79, 1.52, 0.00, -0.00, 15.00, 0.00, -0.00, -0.00,  -15.00, -0.00, 701.40, 279.94, 289.41, -0.00, 289.41, 13.78, 13.78, 0.00, 1
1000000, 100.00, 100.00, 2.00, 0.79, 1.52, 0.00, 0.00, 17.00, 0.00, -0.00, -0.00,  -17.00, -0.00, 619.08, 362.35, 371.73, -0.00, 371.73, 17.70, 17.70, 0.00, 1
1000000, 100.00, 100.00, 2.00, 0.79, 1.52, 0.00, 0.00, 19.00, 0.00, -0.00, -0.00,  -19.00, -0.00, 526.47, 455.06, 464.34, -0.00, 464.34, 22.11, 22.11, 0.00, 1
1000000, 100.00, 100.00, 2.00, 0.79, 1.52, 0.00, -0.00, 21.00, 0.00, -0.00, -0.00,  -21.00, -0.00, 423.57, 558.08, 567.24, -0.00, 567.24, 27.01, 27.01, 0.00, 1
1000000, 100.00, 100.00, 2.00, 0.79, 1.52, 0.00, 0.00, 23.00, 0.00, -0.00, -0.00,  -23.00, -0.00, 310.38, 671.40, 680.43, -0.01, 680.43, 32.40, 32.40, 0.00, 1
1000000, 100.00, 100.00, 2.00, 0.79, 1.52, 0.00, 0.00, 25.00, 0.00, -0.00, -0.00,  -25.00, -0.00, 186.90, 795.02, 803.91, -0.01, 803.91, 38.28, 38.28, 0.00, 1
1000000, 100.00, 100.00, 2.00, 0.79, 1.52, 0.00, 0.76, 27.00, 0.00, 0.76, -0.00,  -26.24, -0.00, 105.38, 876.63, 885.43, -0.01, 885.43, 42.16, 42.16, 0.00, 1
1000000, 100.00, 100.00, 2.00, 0.79, 1.52, 0.00, 2.76, 29.00, 0.00, 2.76, -0.00,  -26.24, -0.00, 105.38, 876.64, 885.43, -0.01, 885.43, 42.16, 42.16, 0.00, 1
1000000, 100.00, 100.00, 2.00, 0.79, 1.52, 0.00, -0.00, 31.00, 0.00, -0.00, -0.00,  -31.00, -0.00, -245.28, 1227.69, 1236.09, -0.02, 1236.09, 58.86, 58.86, 0.00, 1
